,Mã,Năm, TÀI SẢN NGẮN HẠN, Tiền và tương đương tiền , Đầu tư tài chính ngắn hạn, Các khoản phải thu ngắn hạn," Hàng tồn kho, ròng", Tài sản ngắn hạn khác, TÀI SẢN DÀI HẠN, Phải thu dài hạn, Tài sản cố định, GTCL TSCĐ hữu hình, GTCL Tài sản thuê tài chính, GTCL tài sản cố định vô hình, Xây dựng cơ bản dở dang (trước 2015), Giá trị ròng tài sản đầu tư, Tài sản dở dang dài hạn, Đầu tư dài hạn, Lợi thế thương mại (trước 2015), Tài sản dài hạn khác,Lợi thế thương mại, TỔNG CỘNG TÀI SẢN, NỢ PHẢI TRẢ, Nợ ngắn hạn, Phải trả người bán ngắn hạn, Người mua trả tiền trước ngắn hạn, Doanh thu chưa thực hiện ngắn hạn, Vay và nợ thuê tài chính ngắn hạn, Nợ dài hạn, Phải trả nhà cung cấp dài hạn, Người mua trả tiền trước dài hạn,Doanh thu chưa thực hiên dài hạn, Vay và nợ thuê tài chính dài hạn, VỐN CHỦ SỞ HỮU, Vốn và các quỹ, Vốn góp của chủ sở hữu, Thặng dư vốn cổ phần,Vốn khác, Lãi chưa phân phối, LNST chưa phân phối lũy kế đến cuối kỳ trước, LNST chưa phân phối kỳ này, Lợi ích cổ đông không kiểm soát, Nguồn kinh phí và quỹ khác, LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT (trước 2015), TỔNG CỘNG NGUỒN VỐN
0,AAA,2020,4496050828524.0,963717122052.0,758600000000.0,1669170204812.0,946809379604.0,157754122056.0,4073363572384.0,173910564469.0,2325026613214.0,2245284822658.0,0.0,79741790556.0,0,447748684374.0,361230196821.0,488178292178.0,0,277269221328.0,15191976499.0,8569414400908.0,4545451942407.0,3772834861366.0,542479516287.0,106523885106.0,88300646698.0,2943359269628.0,772617081041.0,25253997253.0,0.0,101907915696.0,617146847843.0,4023962458501.0,4023962458501.0,2217599740000.0,692074189329.0,26544930000.0,568716740171.0,313931181110.0,254785559061.0,426375132551.0,0.0,0,8569414400908.0
1,AAA,2021,5354610509760.0,1988170740182.0,436156000000.0,1795468441466.0,997384835429.0,137430492683.0,4654916125531.0,278966433205.0,2100839611952.0,2022419512484.0,0.0,78420099468.0,0,526347470213.0,853176364818.0,569909270071.0,0,325676975272.0,36550676761.0,10009526635291.0,4555144898241.0,3282339419557.0,609834689481.0,147979129414.0,66065977511.0,2183181098128.0,1272805478684.0,887312160.0,0.0,89443518069.0,1175997845832.0,5454381737050.0,5454381737050.0,3264344960000.0,712591123817.0,26544930000.0,706493529920.0,374404489280.0,332089040640.0,659890646972.0,0.0,0,10009526635291.0
2,AAA,2022,5658759199548.0,1642978052440.0,448656000000.0,1572889266273.0,1790091357848.0,204144522987.0,5137073482164.0,66843405856.0,2077430539271.0,2000004299809.0,0.0,77426239462.0,0,497283341861.0,693446604066.0,1493973537488.0,0,308096053622.0,32469590996.0,10795832681712.0,4624647264247.0,3206482597038.0,754557899880.0,146454658944.0,97767880924.0,1887821444978.0,1418164667209.0,488265008.0,0.0,157369765181.0,1242368724012.0,6171185417465.0,6171185417465.0,3822744960000.0,823946323817.0,44744930000.0,721688030767.0,628413402158.0,93274628609.0,651298108490.0,0.0,0,10795832681712.0
3,AAA,2023,5681580248153.0,2435058282483.0,1079609986000.0,1204888211832.0,781680229197.0,180343538641.0,5901865257763.0,82297269278.0,2012981059510.0,1863866579072.0,0.0,149114480438.0,0,1317994843520.0,296545648857.0,1328109477624.0,0,863936958974.0001,47798795134.0,11583445505916.0,5619574565686.0,3737041187457.0,517381867012.0001,119139197505.0,116182822055.0,2625493361179.0,1882533378229.0,0.0,0.0,1498211375163.0,358856724282.0,5963870940230.0,5963870940230.0,3822744960000.0,823946323817.0,18751291534.0,562622505805.0001,273211957121.0,289410548684.0,619705409043.0001,0.0,0,11583445505916.0
4,AAA,2024,6441856215121.001,2419517905105.0,718639358712.0,1751231752702.0,1352422066899.0,200045131703.0,7306027379609.001,445612228000.0,3037270806863.001,2836544208665.0,56808705545.0,143917892653.0,0,1303970692613.0,1191925809142.0,254658998561.0,0,1072588844430.0,156430635657.0,13747883594730.0,7512721392568.001,4026705299378.0,852891064919.0001,135107451609.00002,111467190914.0,2463850484024.0,3486016093190.0,0.0,0.0,2039511700402.0,1430625573829.0,6235162202162.0,6235162202162.0,3822744960000.0,823946323817.0,18751291534.0,529234437505.00006,514678607968.0001,14555829537.0,911430273802.0001,0.0,0,13747883594730.0
5,AAM,2020,171282053841.0,26258747855.0,5634959920.0,17196382641.0,119394550727.0,2797412698.0,39537208808.0,0.0,28661322308.0,8050550807.0,0.0,20610771501.0,0,0.0,27500000.0,10688386500.0,0,160000000.0,0.0,210819262649.0,16718282839.0,15503668591.0,3211416366.0,1275513000.0,0.0,7583127202.0,1214614248.0,0.0,0.0,0.0,0.0,194100979810.0,194100979810.0,123464110000.0,93325820793.0,1287760139.0,-2000136035.0,5611086929.0,-7611222964.0,0.0,0.0,0,210819262649.0
6,AAM,2021,163042481781.0,61812295456.0,6134959920.0,7766546518.0,84836260629.0,2492419258.0,38045025902.0,0.0,26236639402.0,6261629365.0,0.0,19975010037.0,0,0.0,0.0,10688386500.0,0,1120000000.0,0.0,201087507683.0,6761017862.0,5544333271.0,1573049595.0,1708663222.0,0.0,0.0,1216684591.0,0.0,0.0,0.0,0.0,194326489821.0,194326489821.0,123464110000.0,93325820793.0,1287760139.0,-1774626024.0,-2000136035.0,225510011.0,0.0,0.0,0,201087507683.0
7,AAM,2022,180897439215.0,10250896174.0,53134959920.0,12335204474.0,101871951690.0,3304426957.0,37682103009.0,0.0,26113716509.0,6774467936.0,0.0,19339248573.0,0,0.0,0.0,10688386500.0,0,880000000.0,0.0,218579542224.0,9043271702.0,7937231960.0,1263430476.0,726377600.0,0.0,0.0,1106039742.0,0.0,0.0,0.0,0.0,209536270522.0,209536270522.0,123464110000.0,93325820793.0,1287760139.0,13435154677.0,-1774626024.0,15209780701.0,0.0,0.0,0,218579542224.0
8,AAM,2023,173748814806.0,22888984646.0,5000039920.000001,13844480998.0,127268351742.0,4746957500.0,39108508899.0,0.0,23645202399.0,4941715290.0,0.0,18703487109.0,0,0.0,0.0,14823306500.0,0,640000000.0,0.0,212857323705.0,10221544787.0,9148047007.000002,5888061728.000001,365202600.0,0.0,0.0,1073497779.9999999,0.0,0.0,0.0,0.0,202635778918.0,202635778918.0,123464110000.0,93325820793.0,1287760139.0,6534663073.000001,5988827277.0,545835796.0,0.0,0.0,0,212857323705.0
9,AAM,2024,165566091444.0,62696698955.0,39920.0,9021179797.0,89003722128.00002,4844450644.0,36770462951.0,0.0,21723875683.0,3656150014.0,0.0,18067725669.0,0,0.0,0.0,14646587268.0,0,400000000.0,0.0,202336554395.0,6013144141.000001,4931214445.000002,2401119321.000001,378766550.0000001,0.0,0.0,1081929696.0,0.0,0.0,0.0,0.0,196323410254.0,196323410254.0,123464110000.0,93325820793.0,1287760139.0,222294409.0,1573818062.0,-1351523653.0,0.0,0.0,0,202336554395.0
10,AAT,2024,434732640242.0,11494379176.0,26588010013.0,375132962656.0,13144682378.0,8372606019.000001,886907373253.0001,2154164742.0,293923069000.0,290434667617.0,3488401383.0,0.0,0,296172723100.0001,166742680262.0,0.0,0,127914736149.0,0.0,1321640013495.0,589734740137.0,182198383849.0,21356353688.0,210124213.0,20736900000.0,121422882472.0,407536356288.0,0.0,0.0,417833156.0,243687427368.0,731905273358.0001,731905273358.0001,708191030000.0,-210000000.0,0.0,-3734299615.0,-8064116095.000001,4329816480.0,27201042973.0,0.0,0,1321640013495.0
11,AAT,2022,443749376517.0,15812579609.0,1000000000.0,412319618339.0,14106487540.0,510691029.0,609696511311.0,66450000000.0,180167384612.0,173366191934.0,0.0,6801192678.0,0,272532909484.0,5931923000.0,67322000000.0,0,17292294215.0,0.0,1053445887828.0,321963823486.0,212741734316.0,7794628305.0,3380749000.0,0.0,122964919409.0,109222089170.0,0.0,0.0,0.0,109222089170.0,731482064342.0,731482064342.0,638014890000.0,-210000000.0,0.0,93219674342.0,4191538078.0,89028136264.0,0.0,0.0,0,1053445887828.0
12,AAT,2023,468060301717.0,2079219083.9999998,20000000000.0,417455201374.0,27578288832.0,947592427.0,543280761484.0,31444164742.0,136188628937.0,125159925620.0,5122788183.0,5905915134.000001,0,294346753470.0,810673000.0000001,67322000000.0,0,13168541335.0,0.0,1011341063201.0,303719940136.0,227949507762.0,31694531405.0,210000000.0,0.0,137464371038.0,75770432374.00002,0.0,0.0,0.0,75770432374.00002,707621123065.0,707621123065.0,708191030000.0,-210000000.0,0.0,-817406935.0000001,1649169364.0,-2466576299.0,0.0,0.0,0,1011341063201.0
13,AAT,2020,172575490167.0,19726020423.0,1000000000.0,134465379924.0,16993740870.0,390348950.0,407288340841.0,15000000000.0,297479927858.0,290418180092.0,0.0,7061747766.0,0,0.0,16121923000.0,67322000000.0,0,11364489983.0,0.0,579863831008.0,154930285791.0,92181891828.0,3665368385.0,416888029.0,0.0,82848350597.0,62748393963.0,0.0,0.0,0.0,30143764097.0,424933545217.0,424933545217.0,348000000000.0,0.0,0.0,76476045217.0,62437577425.0,14038467792.0,0.0,0.0,0,579863831008.0
14,AAT,2021,343223419995.0,93316439908.0,1000000000.0,211634262990.0,17819372760.0,19453344337.0,633388995336.0,55000000000.0,434928202407.0,426431944440.0,0.0,8496257967.0,0,0.0,55217003411.0,67322000000.0,0,20921789518.0,0.0,976612415331.0,307875600855.0,115701731526.0,12872688710.0,1655033858.0,0.0,79215175268.0,192173869329.0,0.0,0.0,0.0,138486277620.0,668736814476.0,668736814476.0,638014890000.0,-210000000.0,0.0,30474424476.0,1660768217.0,28813656259.0,0.0,0.0,0,976612415331.0
15,AAV,2020,341856374398.0,3024779884.0,678528878.0,311812460690.0,18519846756.0,7820758190.0,258863331080.0,30019510814.0,37215851835.0,37152073940.0,0.0,63777895.0,0,5083076608.0,153117837001.0,0.0,0,33427054822.0,32897059123.0,600719705478.0,213243141474.0,156874093745.0,12541656639.0,6631705240.0,177383697.0,134576614055.0,56369047729.0,0.0,35024231619.0,4213771290.0,4740013500.0,387476564004.0,387476564004.0,318749960000.0,-238022000.0,0.0,49623177454.0,36280675867.0,13342501587.0,19341448550.0,0.0,0,600719705478.0
16,AAV,2021,662151240344.0,2213058463.0,0.0,635484543500.0,13930491386.0,10523146995.0,329828168970.0,52720492905.0,23068487061.0,22516461428.0,0.0,552025633.0,0,4939437676.0,161563581652.0,0.0,0,87536169676.0,73013448551.0,991979409314.0,185198594703.0,133492833201.0,2895512893.0,670000000.0,0.0,122588815966.0,51705761502.0,0.0,35024231619.0,4290498563.0,0.0,806780814611.0,806780814611.0,666561800000.0,65711978000.0,0.0,26477945344.0,1398464910.0,25079480434.0,48029091267.0,0.0,0,991979409314.0
17,AAV,2022,749900579285.0,2442273584.0,0.0,727283102428.0,9713715449.0,10461487824.0,329704703682.0,52820640637.0,21547596974.0,21058416703.0,0.0,489180271.0,0,4795798744.0,172536597756.0,0.0,0,78004069571.0,64133848006.0,1079605282967.0,270529247088.0,219473052349.0,14516965615.0,1070000000.0,8547945.0,194042240554.0,51056194739.0,0.0,35024231619.0,4142154800.0,0.0,809076035879.0,809076035879.0,689876610000.0,65711978000.0,0.0,4671108747.0,3163135345.0,1507973402.0,48816339132.0,0.0,0,1079605282967.0
18,AAV,2023,668923956357.0,437495089.0,0.0,652037971396.0,6475941593.0,9972548279.0,249177529133.0,4228954996.0000005,19512259901.0,19124174722.0,0.0,388085179.0,0,4652159812.000001,164536597756.0,0.0,0,56247556668.0,55698872403.0,918101485490.0001,138202913378.0,87391860712.00002,8340801221.000002,630000.0,145325581.0,76053252420.0,50811052666.0,0.0,35024231619.000015,3897012727.0,0.0,779898572112.0,779898572112.0,689876610000.0,65711978000.0,0.0,-12265598679.0,4671108747.0,-16936707426.0,36575582791.0,0.0,0,918101485490.0001
19,AAV,2024,571786452695.0,5145807293.000001,138000000000.0,415345559984.0001,2833112107.0,10461973311.0,364135318877.0,3400295379.0,26411770638.0,26124780551.0,0.0,286990087.0,0,4508520880.0,206218737187.0,76000000000.0,0,47595994793.000015,47263896800.0,935921771572.0,167589023102.0,127520444825.0,10120231945.0,1900000000.0,125354545.0,99163999420.0,40068578277.0,0.0,35024231619.000015,3773546658.0,1270800000.0,768332748470.0001,768332748470.0001,689876610000.0,65711978000.0,0.0,-24213498779.0,-12265598679.0,-11947900100.0,36957659249.0,0.0,0,935921771572.0
20,ABR,2020,199049394509.0,96688779310.0,78547962615.0,20838689832.0,1568254608.0,1405708144.0,83393508042.0,69808980.0,7799668596.0,7799668596.0,0.0,0.0,0,0.0,12440933660.0,43262166.0,0,63039834640.0,60948620561.0,282442902551.0,46002480531.0,43077671349.0,35094332778.0,471791367.0,0.0,0.0,2924809182.0,0.0,0.0,0.0,0.0,236440422020.0,236440422020.0,200000000000.0,0.0,0.0,36440422020.0,11711785628.0,24728636392.0,0.0,0.0,0,282442902551.0
21,ABR,2021,236539139007.0,49272857602.0,144676883220.0,41804446989.0,407812936.0,377138260.0,75975769349.0,175282530.0,14710044990.0,14710044990.0,0.0,0.0,0,0.0,3727210681.0,0.0,0,57363231148.0,54081170357.0,312514908356.0,56749743771.0,52752149490.0,38251096585.0,1528954750.0,50587877.0,0.0,3997594281.0,0.0,0.0,0.0,0.0,255765164585.0,255765164585.0,200000000000.0,0.0,0.0,55765164585.0,36440422020.0,19324742565.0,0.0,0.0,0,312514908356.0
22,ABR,2022,195962561460.0,21399865883.0,117321275738.0,55873763866.0,419821256.0,947834717.0,176220150467.0,116455000.0,10915700418.0,10915700418.0,0.0,0.0,0,0.0,3954077162.0,109911887619.0,0,51322030268.0,47213720153.0,372182711927.0,87026800886.0,82428749105.0,54148494888.0,1139273786.0,6400503252.0,0.0,4598051781.0,0.0,0.0,0.0,0.0,285155911041.0,285155911041.0,200000000000.0,0.0,0.0,85155911041.0,55765164585.0,29390746456.0,0.0,0.0,0,372182711927.0
23,ABR,2023,174258791993.0,3368002514.0,129693780971.0,39640096445.0,0.0,1556912063.0,209822733379.0,2283354644.0,72653149.0,72653149.0,0.0,0.0,0,0.0,0.0,164188500000.0,0,43278225586.00001,40346269949.0,384081525372.0001,67943209116.000015,50640776335.0,33134340993.00001,1141237519.0,6407581157.000002,0.0,17302432781.0,0.0,0.0,13075471700.0,0.0,316138316256.0,316138316256.0,200000000000.0,0.0,0.0,116138316256.0,85155911041.00002,30982405215.0,0.0,0.0,0,384081525372.0001
24,ABR,2024,113996062226.0,4274090598.0,78500000000.0,31014966827.0,0.0,207004801.0,240038257251.0,8509516935.000002,35630872.0,35630872.0,0.0,0.0,0,0.0,0.0,196577925618.0,0,34915183826.0,33478819745.0,354034319477.0,59936822741.0,47920217640.0,30520961484.0,1136008352.0,6574288404.000001,0.0,12016605101.0,0.0,0.0,8320754720.000001,0.0,294097496736.0001,294097496736.0001,200000000000.0,0.0,0.0,94097496736.00002,89470983314.00002,4626513422.0,0.0,0.0,0,354034319477.0
25,ABS,2024,946631668276.0001,118574547.0,1118372.0,944060331098.0,1874454252.0,577190007.0,55302823761.00001,0.0,9819830651.0,5114938268.000001,0.0,4704892383.0,0,18473717181.0,0.0,23000000000.0,0,4009275929.0,0.0,1001934492037.0,85411864617.0,84714364617.0,2819607312.0,8809630052.0,20454545.0,59238224274.00001,697500000.0,0.0,0.0,0.0,400000000.0,916522627420.0,916522627420.0,800000000000.0,42560127000.0,0.0,73902984244.0,71343583103.0,2559401141.0,0.0,0.0,0,1001934492037.0
26,ABS,2023,1121657277969.0,1778084645.0,1046000.0,1115689147876.0,3740672972.0,448326476.0,457548066529.0001,357025000000.0001,13837320862.0,5673620537.000001,0.0,8163700325.000001,0,18473717181.0,0.0,68000000000.0,0,212028486.0,0.0,1579205344498.0,665242118219.0,664304618219.0,7888216499.0,172029652.0,20454545.0,592216495407.0001,937500000.0000001,0.0,0.0,0.0,640000000.0,913963226279.0,913963226279.0,800000000000.0,42560127000.0,0.0,71343583103.0,63056573432.0,8287009671.0,0.0,0.0,0,1579205344498.0
27,ABS,2020,864484779287.0,2555336789.0,0.0,855987302605.0,5245755627.0,696384266.0,305610994498.0,221400000000.0,15264673504.0,6219232817.0,0.0,9045440687.0,0,0.0,0.0,68000000000.0,0,946320994.0,0.0,1170095773785.0,734809510387.0,734517010387.0,358201385381.0,96778900.0,0.0,357613530750.0,292500000.0,0.0,0.0,0.0,0.0,435286263398.0,435286263398.0,374398730000.0,0.0,0.0,60828017222.0,12918349748.0,47909667474.0,0.0,0.0,0,1170095773785.0
28,ABS,2021,1282110103493.0,3143094202.0,340200000000.0,917672393436.0,20203291172.0,891324683.0,310841644576.0,221400000000.0,13009863399.0,4258336232.0,0.0,8751527167.0,0,7637000000.0,0.0,68000000000.0,0,794781177.0,0.0,1592951748069.0,666547625424.0,666155125424.0,158124994084.0,13186672000.0,0.0,471311583000.0,392500000.0,0.0,0.0,0.0,0.0,926404122645.0,926404122645.0,800000000000.0,42560127000.0,0.0,83784479469.0,18432533849.0,65351945620.0,0.0,0.0,0,1592951748069.0
29,ABS,2022,1356959281416.0,3560560094.0,340201000000.0,1007432302007.0,5137609230.0,627810085.0,312311835135.0,221400000000.0,14807730468.0,6350116723.0,0.0,8457613745.0,0,7637000000.0,0.0,68000000000.0,0,467104667.0,0.0,1669271116551.0,763594899943.0,762417399943.0,144745031370.0,1397304652.0,20454545.0,533517000000.0,1177500000.0,0.0,0.0,0.0,880000000.0,905676216608.0,905676216608.0,800000000000.0,42560127000.0,0.0,63056573432.0,40516882188.0,22539691244.0,0.0,0.0,0,1669271116551.0
30,ABT,2020,258319984484.0,56635132696.0,7217151855.0,37928335018.0,154960169508.0,1579195407.0,285355178756.0,0.0,64001069640.0,52606991906.0,0.0,11394077734.0,0,0.0,8150873702.0,187202383000.0,0,26000852414.0,0.0,543675163240.0,132991764108.0,128440632608.0,15890577956.0,270558350.0,0.0,94271506725.0,4551131500.0,0.0,0.0,0.0,0.0,410683399132.0,410683399132.0,141072070000.0,287769908319.0,0.0,19527821772.0,7997035215.0,11530786557.0,0.0,0.0,0,543675163240.0
31,ABT,2021,295336129083.0,68066068838.0,29454855.0,49004070602.0,176659207314.0,1577327474.0,298937869729.0,0.0,62639843711.0,51669398257.0,0.0,10970445454.0,0,0.0,22584935533.0,187202383000.0,0,26510707485.0,0.0,594273998812.0,175678304886.0,171507973886.0,20475190523.0,1046133200.0,0.0,124489184815.0,4170331000.0,0.0,0.0,0.0,0.0,418595693926.0,418595693926.0,141072070000.0,287769908319.0,0.0,27440116566.0,7470564772.0,19969551794.0,0.0,0.0,0,594273998812.0
32,ABT,2022,299925829753.0,127303560011.0,15029454855.0,42937688322.0,108132084463.0,6523042102.0,322614079934.0,0.0,92005334727.0,81458521553.0,0.0,10546813174.0,0,0.0,5879777497.0,187202383000.0,0,37526584710.0,0.0,622539909687.0,151648445347.0,148066249347.0,34503997225.0,2494012305.0,0.0,88430659612.0,3582196000.0,0.0,0.0,0.0,0.0,470891464340.0,470891464340.0,143872070000.0,290401636501.0,0.0,74304158798.0,13215057565.0,61089101233.0,0.0,0.0,0,622539909687.0
33,ABT,2023,337587701029.0,11064446214.0,145434454855.0,88063011151.00002,91616087602.00002,1409701207.0,313796705202.0,0.0,90275997911.0,80152817017.00002,0.0,10123180894.0,0,0.0,7550900076.000001,187202383000.0,0,28767424215.0,0.0,651384406231.0001,160564993618.0,157455382618.0,15993997018.0,2144111700.9999998,0.0,99881388430.0,3109611000.0,0.0,0.0,0.0,0.0,490819412613.00006,490819412613.00006,143872070000.0,290401636501.0,0.0,94232107071.0,36249141590.0,57982965481.0,0.0,0.0,0,651384406231.0001
34,ABT,2024,438491675489.0,57554981757.0,213626183102.0,56562314282.0,108902455756.0,1845740592.0,330080632274.0,0.0,116981393057.0,107281844443.0,0.0,9699548614.000002,0,0.0,140390265.0,187202383000.0,0,25756465952.0,0.0,768572307763.0,225710376167.0,222538461167.0,13085410361.0,4461140353.0,0.0,131135245460.0,3171915000.0,0.0,0.0,0.0,0.0,542861931596.0001,542861931596.0001,143872070000.0,290401636501.0,0.0,146274626054.0,64518573486.999985,81756052567.0,0.0,0.0,0,768572307763.0
35,ACB,2023,0.0,6909300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4762561000000.001,3317568000000.0,0.0,1444993000000.0,0,177005000000.0,0.0,140025000000.0,0,0.0,0.0,718794589000000.0,647838628000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70955961000000.02,0.0,0.0,271779000000.0,0.0,20286243000000.0,0.0,0.0,0.0,0.0,0,718794589000000.0
36,ACB,2022,0.0,8460892000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3981376000000.0,2849732000000.0,0.0,1131644000000.0,0,177005000000.0,0.0,146814000000.0,0,0.0,0.0,607875185000000.0,549436522000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58438663000000.0,0.0,0.0,271779000000.0,0.0,15172408000000.0,0.0,0.0,0.0,0.0,0,607875185000000.0
37,ACB,2024,0.0,5696449000000.001,0.0,0.0,0.0,0.0,0.0,0.0,5412370000000.0,3222198000000.0,0.0,2190172000000.0,0,177005000000.0,0.0,124935000000.0,0,0.0,0.0,864005703000000.1,780544025000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83461678000000.0,0.0,0.0,271779000000.0,0.0,23733752000000.0,0.0,0.0,0.0,0.0,0,864005703000000.1
