,Mã,Năm, Lãi trước thuế, Khấu hao TSCĐ  , Lãi/(lỗ) trước những thay đổi vốn lưu động, Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh (TT)," Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác (TT)"," Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác (TT)"," Tiền chi cho vay, mua các công cụ nợ của đợn vị khác (TT)"," Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (TT)", Lưu chuyển tiền tệ ròng từ hoạt động đầu tư (TT)," Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu (TT)"," Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành (TT)", Tiền thu được các khoản đi vay (TT), Tiền trả nợ gốc vay (TT), Tiền thanh toán vốn gốc đi thuê tài chính (TT), Cổ tức đã trả (TT), Lưu chuyển tiền tệ từ hoạt động tài chính (TT), Lưu chuyển tiền thuần trong kỳ (TT), Tiền và tương đương tiền đầu kỳ (TT), Ảnh hưởng của chênh lệch tỷ giá (TT), Tiền và tương đương tiền cuối kỳ (TT), Đầu tư vào doanh nghiệp khác
0,AAA,2020,318748516546.0,287129075280.0,678371452879.0,612538718206.0,-271433582812.0,4112727274.0,-1763101249909.0,2683864408389.0,34701081384.0,569961500000.0,0.0,6929547159005.0,-7365247885274.0,0.0,-108671913000.0,25588860731.0,672828660321.0,291674680985.0,-786219254.0,963717122052.0,-847349584134.0
1,AAA,2021,397868051996.0,315934993090.0,741876253734.0,443620282772.0,-668611230534.0,6450677615.0,-1621059878400.0,2039289323027.0,-150390199871.0,1145712154488.0,0.0,8908162396049.0,-9166083799630.0,0.0,-148545935501.0,739244815406.0,1032474898307.0,963717122052.0,-8021280177.0,1988170740182.0,-400404312220.0
2,AAA,2022,186066111703.0,311000570200.0,,97095210426.0,-168326440417.0,5988373461.0,-627265480000.0,566435708400.0,-1093758714092.0,854220890000.0,0.0,7891352976594.0,-8114479429801.0,0.0,-152250000.0,630942186793.0,-365721316873.0,1988170740182.0,20528629131.0,1642978052440.0,-954294817247.0
3,AAA,2023,377895554949.0,330970771702.0001,618901175077.0,2615215818513.0,-643183016026.0,8127328351.000001,-2260926390806.0,1870983530000.0,-1599360204269.0,0.0,0.0,6422374307663.001,-6658111047622.0,0.0,-127343500.0,-235864083459.0,779991530785.0,1642978052440.0,12088699258.0,2435058282483.0,-747422914038.0
4,AAA,2024,407929704810.0,392935082692.0,848054129615.0001,694089539672.0,-838759386525.0001,23131262833.0,-2373728801178.0,2971976088808.0,-982995774473.0001,0.0,0.0,7010231206347.001,-6735784554193.0,-3502410204.0,-10532850000.0,260411391950.0,-28494842851.0,2435058282483.0,12954465473.0,2419517905105.0,-944336365498.0
5,AAM,2020,-11995325165.0,3308823611.0,-12842439217.0,-24311448296.0,-1370951179.0,200000000.0,-26000000000.0,58350000000.0,34349593895.0,0.0,0.0,16735627507.0,-9152500305.0,0.0,-5225591000.0,2357536202.0,12395681801.0,13793393220.0,69672834.0,26258747855.0,0.0
6,AAM,2021,227580354.0,3114330669.0,2477729253.0,45312490419.0,-746072727.0,0.0,-5000000000.0,3000000000.0,-2287699235.0,0.0,0.0,4375700000.0,-11958827202.0,0.0,0.0,-7583127202.0,35441663982.0,26258747855.0,111883619.0,61812295456.0,0.0
7,AAM,2022,17875866817.0,3256641665.0,,-3970805102.0,-3217643736.0,0.0,-112000000000.0,65000000000.0,-48053251476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52024056578.0,61812295456.0,462657296.0,10250896174.0,0.0
8,AAM,2023,797425852.0000001,2622589146.0,-43968006.0,-24230847125.0,-238000000.0,0.0,-25000000000.0,69000000000.0,44001754869.0,0.0,0.0,0.0,0.0,0.0,-7315827400.000001,-7315827400.000001,12455080344.0,10250896174.0,183008128.0,22888984646.0,-4134920000.0
9,AAM,2024,-6303936748.000001,1942401752.0,-5063266189.0,34043716170.0,-105000000.0,0.0,0.0,5000000000.0,5443429617.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39487145787.0,22888984646.0,320568522.0,62696698955.0,0.0
10,AAT,2024,3378534748.0,41363636773.000015,37000559074.0,-71345568701.00002,-27387912903.0,0.0,-26588010013.0,20000000000.0,38411747365.0,0.0,0.0,283321538050.0,-239779712908.0,0.0,0.0,42348981428.0,9415160092.0,2079219083.9999998,0.0,11494379176.0,0.0
11,AAT,2022,0.0,0.0,,-238468566446.0,-114088068041.0,298858188000.0,-36900000000.0,0.0,147988906319.0,0.0,0.0,270562182170.0,-257586382342.0,0.0,0.0,12975799828.0,-77503860299.0,93316439908.0,0.0,15812579609.0,-26000000000.0
12,AAT,2023,0.0,0.0,0.0,41388654406.0,-6257540771.0,6257540771.0,-39000000000.0,1000000000.0,-36009573348.000015,0.0,0.0,241828429841.0,-258355837948.0001,-2424797060.0,0.0,-18952205167.0,-13573124109.0,15812579609.0,-160236416.0,2079219083.9999998,0.0
13,AAT,2020,0.0,0.0,0.0,1019204676.0,-29960257964.0,65154773200.0,0.0,0.0,35255740913.0,0.0,0.0,166371786517.0,-187107753534.0,-939440000.0,0.0,-21675407017.0,14599538572.0,5126341359.0,140492.0,19726020423.0,0.0
14,AAT,2021,0.0,0.0,0.0,48150054552.0,-296957978771.0,0.0,0.0,0.0,-296750944935.0,250000000000.0,0.0,346559293748.0,-241326577646.0,0.0,-33052045000.0,322180671102.0,73579780719.0,19726020423.0,10638766.0,93316439908.0,0.0
15,AAV,2020,17768880453.0,7547333313.0,26405954721.0,-24449609505.0,-4348203989.0,0.0,-2978528878.0,2300000000.0,-3847990497.0,0.0,0.0,176841550349.0,-165276447455.0,0.0,0.0,11565102894.0,-16732497108.0,19757069423.0,207569.0,3024779884.0,0.0
