,Mã,Năm, Doanh thu bán hàng và cung cấp dịch vụ, Doanh thu thuần, Lợi nhuận gộp về bán hàng và cung cấp dịch vụ, Doanh thu hoạt động tài chính, Chi phí tài chính, Trong đó: Chi phí lãi vay, Lãi/lỗ từ công ty liên doanh, Chi phí bán hàng, Chi phí quản lý doanh  nghiệp, Lợi nhuận thuần từ hoạt động kinh doanh, Lợi nhuận khác, Lãi/ lỗ từ công ty liên doanh (trước 2015), Tổng lợi nhuận kế toán trước thuế, Chi phí thuế thu nhập doanh nghiệp, Lợi nhuận sau thuế thu nhập doanh nghiệp, Lợi ích của cổ đông thiểu số, Cổ đông của Công ty mẹ, Lãi cơ bản trên cổ phiếu
0,AAA,2020,7438249657913.0,7428557015044.0,776935221364.0,168671082125.0,-228577022279.0,-201246469116.0,16704296145.0,-255844520030.0,-166965892910.0,310923164415.0,7825352131.0,0,318748516546.0,-35575705867.0,283172810679.0,20931991942.0,262240818737.0,1310.0
1,AAA,2021,13154009928330.0,13143109864001.0,1301375383462.0,213876129052.0,-199733463745.0,-151665660549.0,22873141538.0,-738538104564.0,-194751557339.0,405101528404.0,-7233476408.0,0,397868051996.0,-73725027577.0,324143024419.0,33902012122.0,290241012297.0,813.0
2,AAA,2022,15314698238896.0,15290297073087.0,1086239883713.0,214482862553.0,-257402705272.0,-173679772675.0,57678939569.0,-666097260650.0,-247607549844.0,187294170069.0,-1228058366.0,0,186066111703.0,-68774843766.0,117291267937.0,-35308063779.0,152599331716.0,433.0
3,AAA,2023,12628191473898.0,12621514144947.0,1108693322770.0,242681115061.0,-239294342399.0,-190476045845.0,52941132765.00001,-511055878824.00006,-285281847427.0,368683501946.0,9212053003.0,0,377895554949.0,-68701731815.00001,309193823134.0,19783274450.0,289410548684.0,757.0
4,AAA,2024,12787838156129.0,12782355466948.0,1488874039290.0,271169064351.0,-209308504318.0,-159531127377.0,56719757316.0,-721559435098.0,-475034419299.0001,410860502242.00006,-2930797432.0,0,407929704810.0,-97802812463.00002,310126892347.0,-51706773005.0,361833665352.0,0.0
5,AAM,2020,122651245150.0,120886522630.0,146997282.0,3002310313.0,-225236031.0,-215894445.0,0.0,-8182671805.0,-7866720432.0,-13125320673.0,1129995508.0,0,-11995325165.0,27979306.0,-11967345859.0,0.0,-11967345859.0,-1145.0
6,AAM,2021,134110305244.0,134110305244.0,7471858946.0,4419482077.0,-207910426.0,-99939316.0,0.0,-6242311631.0,-6424610723.0,-983491757.0,1211072111.0,0,227580354.0,-2070343.0,225510011.0,0.0,225510011.0,22.0
7,AAM,2022,212007837549.0,212007837549.0,27260932483.0,5286375086.0,-225882888.0,0.0,0.0,-12763496085.0,-7558596102.0,11999332494.0,5876534323.0,0,17875866817.0,-976110483.0,16899756334.0,0.0,16899756334.0,1455.0
8,AAM,2023,139259201598.0,136763342398.00002,901585272.0,4864230762.0,-114166525.0,0.0,0.0,-3971638521.0,-6001675362.0,-4321664374.0,5119090226.0,0,797425852.0000001,-94274967.0,703150885.0,0.0,703150885.0,40.0
9,AAM,2024,153483344374.0,153483344374.0,4359664475.0,3302432549.0,-511785674.00000006,0.0,0.0,-6104094639.000001,-4772225033.000001,-3726008322.0,-2577928426.0,0,-6303936748.000001,-8431916.000000002,-6312368664.0,0.0,-6312368664.0,-604.0
10,AAT,2024,582832152244.0,582832152244.0,54958501990.0,5065670281.0,-21391907415.0,-11611622566.0,0.0,-9928549781.000002,-28666916135.0,36798940.0,3341735808.0,0,3378534748.0,-3823949670.0,-445414922.0,68487842.0,-513902764.00000006,-62.0
11,AAT,2022,961625809112.0,961625809112.0,152762877191.0,205584473.0,-21009080819.0,-19228404889.0,0.0,-2492847148.0,-16999024767.0,112467508930.0,-448246212.0,0,112019262718.0,-22991126454.0,89028136264.0,0.0,89028136264.0,1395.0
12,AAT,2023,599354540320.0,599354540320.0,47121459964.0,2498754473.0,-25588238928.0,-23346940499.0,0.0,-5839595312.0,-11683135646.0,6509244551.0,-6840205948.000001,0,-330961397.0,-2135614901.9999998,-2466576299.0,0.0,-2466576299.0,-35.0
13,AAT,2020,287098931865.0,287098931865.0,36097218110.0,415189461.0,-10839135730.0,-10545780722.0,0.0,-2568852966.0,-9695885090.0,13408533785.0,5221578396.0,0,18630112181.0,-4591644389.0,14038467792.0,0.0,14038467792.0,403.0
14,AAT,2021,473174997084.0,473174997084.0,57941255766.0,1103229507.0,-10628628929.0,-10174216357.0,0.0,-2161163311.0,-13202814249.0,33051878784.0,3646692313.0,0,36698571097.0,-7884914838.0,28813656259.0,0.0,28813656259.0,802.0
15,AAV,2020,323663812902.0,323656900902.0,31718249909.0,13816063231.0,-4372532123.0,-4372505807.0,0.0,-521050962.0,-22298065284.0,18342664771.0,-573784318.0,0,17768880453.0,-3386588439.0,14382292014.0,1039790427.0,13342501587.0,419.0
16,AAV,2021,500844443428.0,500844443428.0,50961466996.0,4705364373.0,-3278915163.0,-3278915163.0,0.0,-531014951.0,-12556908501.0,39299992754.0,-733770386.0,0,38566222368.0,-8392574161.0,30173648207.0,5094167773.0,25079480434.0,696.0
17,AAV,2022,496455980482.0,496455980482.0,39948163620.0,1946085812.0,-6675069808.0,-6675069808.0,0.0,-1718178.0,-28273788065.0,6943673381.0,-11570960.0,0,6932102421.0,-3415646083.0,3516456338.0,2008482936.0,1507973402.0,22.0
18,AAV,2023,73112403857.0,73112403857.0,3214495149.0,3119984002.0,-5264603024.0,-5264448534.0,0.0,-1226760920.0,-17718007120.0,-17874891913.0,823199074.0,0,-17051692839.0,-276386502.0,-17328079341.0,-391371915.0,-16936707426.0,-252.0000000000001
19,AAV,2024,38485998242.0,38485998242.0,-92032770.0,4098278811.9999995,-312376292.0,-312376292.0,0.0,-1456593504.0,-15530722583.0,-13293446337.0,-347010733.0,0,-13640457070.0,0.0,-13640457070.0,-1692556970.0,-11947900100.0,-173.0
20,ABR,2020,98258258741.0,98258258741.0,52744576822.0,7027058324.0,-5292322.0,0.0,0.0,-8332551198.0,-21732837251.0,29700954375.0,702894783.0,0,30403849158.0,-5675212766.0,24728636392.0,0.0,24728636392.0,1236.0
21,ABR,2021,91154043167.0,91154043167.0,44483830851.0,6339716436.0,-2365839.0,0.0,0.0,-5551761617.0,-22096806925.0,23172612906.0,298154785.0,0,23470767691.0,-4146025126.0,19324742565.0,0.0,19324742565.0,966.0
22,ABR,2022,104178591209.0,104178591209.0,53096042917.0,10140720661.0,-117581159.0,0.0,0.0,-5161635756.0,-19684954719.0,38272591944.0,281006107.0,0,38553598051.0,-9162851595.0,29390746456.0,0.0,29390746456.0,1470.0
23,ABR,2023,53676044563.0,53676044563.0,33262134698.0,21640541369.0,-305218180.0,0.0,0.0,-2417763340.0,-22725236220.0,29454458327.0,11442930053.0,0,40897388380.0,-9914983165.000002,30982405215.0,0.0,30982405215.0,1549.0
24,ABR,2024,26703698429.0,26703698429.0,21460359350.0,16264451768.0,-313771105.0,0.0,0.0,-18223806.0,-10984787856.0,26408028351.0,-126420999.0,0,26281607352.0,-8322426872.000002,17959180480.0,0.0,17959180480.0,898.0
25,ABS,2024,396140857414.0,396140857414.0,6291310700.0,28359327129.0,-36445218633.0,-36444042410.0,0.0,-4916646043.0,18241261841.0,11530034994.0,-1957118973.0,0,9572916021.0,-7013514880.000001,2559401141.0,0.0,2559401141.0,32.000000000000014
26,ABS,2023,1025222515712.0,1025222515712.0,38697973956.00001,104657853165.0,-76016484354.0,-76015457355.0,0.0,-5852109940.0,-38766279452.0,22720953375.0,-487806475.0,0,22233146900.0,-13946137229.0,8287009671.0,0.0,8287009671.0,98.00000000000001
27,ABS,2020,1103996073104.0,1103963430657.0,83983363806.0,339707902.0,-8135932745.0,-8135932745.0,0.0,-8044270063.0,-9014558649.0,59128310251.0,1018410504.0,0,60146720755.0,-12237053281.0,47909667474.0,0.0,47909667474.0,1280.0
28,ABS,2021,1198699189061.0,1198652069061.0,58431462035.0,72853683993.0,-33498921727.0,-33363592601.0,0.0,-6787143285.0,-8972183476.0,82026897540.0,-38143645.0,0,81988753895.0,-16636808275.0,65351945620.0,0.0,65351945620.0,788.0
29,ABS,2022,1605396430616.0,1605336430616.0,87751610949.0,12275233468.0,-44263638100.0,-44261733419.0,0.0,-6051108067.0,-14031541636.0,35680556614.0,-1809253534.0,0,33871303080.0,-11331611836.0,22539691244.0,0.0,22539691244.0,268.0
30,ABT,2020,331313624769.0,318110066173.0,37125898759.0,11164165362.0,-4147116425.0,-2918020521.0,0.0,-17811678237.0,-11063570679.0,15267698780.0,1097561286.0,0,16365260066.0,-2077206509.0,14288053557.0,0.0,13850533114.0,1243.0
31,ABT,2021,343461764566.0,341647434418.0,64776903189.0,19862856484.0,-4113160778.0,-2063842024.0,0.0,-33913210227.0,-11140817398.0,35472571270.0,906134992.0,0,36378706262.0,-2585497468.0,33793208794.0,0.0,33793208794.0,2726.0
32,ABT,2022,617431964793.0,616639119539.0,116775945460.0,26927286256.0,-12296370319.0,-3206042792.0,0.0,-46048809483.0,-15289588029.0,70068463885.0,-80192766.0,0,69988271119.0,-5699169886.0,64289101233.0,0.0,64289101233.0,5513.0
33,ABT,2023,532793012065.0001,532664144385.0,83591327478.0,30994469349.0,-8177937085.0,-4899911457.0,0.0,-17661570715.0,-18480972114.0,70265316913.0,179696552.0,0,70445013465.0,-6573419484.0,63871593981.000015,0.0,63871593981.000015,4900.000000000001
34,ABT,2024,574212515281.0,574119095281.0,107555717064.0,31864223229.0,-5719131867.000001,-3770065622.0,0.0,-23118124999.0,-19519506576.0,91063176851.00002,213762172.0,0,91276939023.00002,-9520886456.000002,81756052567.0,0.0,81756052567.0,6942.0
35,ACB,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20067999000000.0,-4023266000000.0,16044733000000.0,0.0,16044733000000.0,4092.0
36,ACB,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17114208000000.0,-3426015000000.0,13688193000000.0,0.0,13688193000000.0,4008.0
37,ACB,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21005871000000.0,-4216103000000.0,16789768000000.0,0.0,16789768000000.0,3669.0
38,ACB,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9595888000000.0,-1913065000000.0,7682823000000.0,0.0,7682823000000.0,3511.0
39,ACB,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11998112000000.0,-2395366000000.0,9602746000000.0,0.0,9602746000000.0,3498.0
40,ACC,2020,484924186610.0,484860108810.0,132967850019.0,2835628784.0,-13155003563.0,-13155003563.0,0.0,-15581745190.0,-29649624789.0,77417105261.0,1384758135.0,0,78801863396.0,-13771242750.0,65030620646.0,5715054432.0,59315566214.0,5179.0
41,ACC,2021,352999336076.0,352999336076.0,72982833282.0,21022450083.0,-24501646303.0,-22403254196.0,0.0,-9090607747.0,-16889580038.0,43523449277.0,3739346867.0,0,47262796144.0,-8765393892.0,38497402252.0,892356173.0,37605046079.0,764.0
42,ACC,2022,642242686748.0,642233570321.0,102449431390.0,52925479357.0,-23626526934.0,-23626526934.0,0.0,-14415686294.0,-18798960265.0,98533737254.0,4672467338.0,0,103206204592.0,-21612546413.0,81593658179.0,-736536294.0,82330194473.0,860.0
43,ACC,2023,651590436819.0,651590436819.0,126557693605.0,17683011782.0,-44623825944.0,-44623825944.0,0.0,-13138682809.0,-17043068730.0,69435127904.0,17906576595.0,0,87341704499.0,-17186995002.0,70154709497.0,655231848.0,69499477649.0,662.0
44,ACC,2024,703993977474.0001,703993977474.0001,109683471516.0,13371115490.0,-40823583062.000015,-40823583062.000015,1245000000.0,-6711386471.000001,-13168507637.0,63596109836.0,4147789542.0000005,0,67743899378.0,-14730462935.0,53013436443.000015,325640236.0,52687796207.00001,502.00000000000006
45,ACG,2020,3781468964050.0,3753605045436.0,1017962191799.0,109690865720.0,-18526863293.0,-12839105796.0,0.0,-442795174301.0,-107320377926.0,559010641999.0,2668839041.0,0,561679481040.0,-69701545638.0,491977935402.0,0.0,491977935402.0,5633.0
46,ACG,2021,3312950679602.0,3293507585511.0,895894751030.0,154068436757.0,-24158148267.0,-21480945050.0,0.0,-383770408773.0,-100092496584.0,541942134163.0,4474456282.0,0,546416590445.0,-95137367611.0,451279222834.0,0.0,451279222834.0,4513.0
47,ACG,2022,4509669871101.0,4475478438823.0,1337846305316.0,175304539586.0,-56857728070.0,-31879418791.0,8000000000.0,-547870944173.0,-167893855307.0,748528317352.0,3408315788.0,0,751936633140.0,-136355343805.0,615581289335.0,0.0,615581289335.0,4577.0
48,ACG,2023,3778719611534.0,3762129251748.0,1107613063302.0,159561172686.0,-45348374449.0,-38839429154.0,1849234733.0,-522386144114.0,-172404565592.0,528884386565.99994,11260479500.0,0,540144866066.00006,-103428065484.0,436716800582.0,-1470000.0,436718270582.0,2896.0
49,ACG,2024,4025384086235.0,3980864021638.0,1251359909087.0,163438456957.0,-36180759867.0,-27561125015.0,248371943.0,-493750736506.0,-310259677423.0,574855564191.0,-50961930263.00001,0,523893633928.0,-103778562448.0,420115071480.0,0.0,420115071480.0,2786.0
50,ACL,2024,1758180595645.0,1748735062071.0,189327774868.0,18843728286.0,-33421932307.000004,-30099733336.0,0.0,-115449129071.0,-45804863749.0,13495578027.0,-320333012.0000001,0,13175245015.0,-2638288017.0,10536956998.0,0.0,10536956998.0,210.0
51,ACL,2022,1174022468086.0,1166952761236.0,275259120853.0,11079443276.0,-37282971944.0,-33702743572.0,0.0,-68457004014.0,-43930779726.0,136667808445.0,-1975745800.0,0,134692062645.0,-16744232560.0,117947830085.0,0.0,117947830085.0,2351.0
52,ACL,2023,1117774370779.0,1116700500707.0,165796017322.0,8377950336.000002,-46524075365.0,-44869732315.0,0.0,-66960002328.0,-43032700058.0,17657189907.0,-3908689755.0,0,13748500152.0,-3895756690.0,9852743462.0,0.0,9852743462.0,196.0
53,ACL,2020,959133319943.0,951757295297.0,150058375947.0,4451534563.0,-46525201004.0,-44709970671.0,0.0,-44409369533.0,-31160991274.0,32414348699.0,-1332272377.0,0,31082076322.0,-2898671415.0,28183404907.0,0.0,28183404907.0,562.0
54,ACL,2021,1224022685706.0,1213721451306.0,154426494692.0,5231769617.0,-34447397726.0,-32052204485.0,0.0,-48034687524.0,-28988215361.0,48187963698.0,-384666507.0,0,47803297191.0,-5715121632.0,42088175559.0,0.0,42088175559.0,839.0
55,ADC,2020,380804401650.0,380804401650.0,135001631017.0,1430173786.0,596255694.0,0.0,0.0,-99214366006.0,-22678543019.0,15135151472.0,1046754198.0,0,16181905670.0,-3813045303.0,12368860367.0,0.0,12368860367.0,3234.0
56,ADC,2021,299308198903.0,299308198903.0,112557878121.0,1422646883.0,105000000.0,0.0,0.0,-85334708548.0,-15458082586.0,13292733870.0,332221570.0,0,13624955440.0,-3234678773.0,10390276667.0,0.0,10390276667.0,2090.0
