,Unnamed: 0,Mã,Năm,P/E,P/B,EPS,BVPS,ROE (%),ROA (%),Nợ / Vốn chủ sở hữu (DE),Biên lợi nhuận gộp,Biên lợi nhuận ròng,Thanh khoản hiện hành,Thanh khoản nhanh
0,0,AAA,2020,9.33,0.61,1310.0,20101.0,6.52,3.06,1.13,0.1,0.04,1.19,0.94
1,1,AAA,2021,23.86,1.27,813.0,15278.0,5.32,2.9,0.84,0.1,0.03,1.63,1.33
2,2,AAA,2022,15.15,0.37,433.0,17511.0,2.47,1.41,0.75,0.07,0.01,1.76,1.21
3,3,AAA,2023,11.99,0.58,757.0,15599.0,4.85,2.5,0.94,0.09,0.03,1.52,1.31
4,4,AAA,2024,,,0.0,inf,5.8,2.63,1.2,0.12,0.03,1.6,1.26
5,5,AAM,2020,-9.2,0.57,-1145.0,18571.0,-6.17,-5.68,0.09,0.0,-0.11,11.05,3.35
6,6,AAM,2021,538.59,0.63,22.0,18958.0,0.12,0.11,0.03,0.06,-0.01,29.41,14.11
7,7,AAM,2022,7.4,0.6,1455.0,18040.0,8.07,7.73,0.04,0.13,0.06,22.79,9.96
8,8,AAM,2023,233.25,0.81,40.0,11527.0,0.35,0.33,0.05,0.01,-0.03,18.99,5.08
9,9,AAM,2024,-12.09,0.39,-604.0,18785.0,-3.22,-3.12,0.03,0.03,-0.02,33.58,15.53
10,10,AAT,2024,-56.13,0.04,-62.0,88301.0,-0.07,-0.04,0.81,0.09,0.0,2.39,2.31
11,11,AAT,2022,3.2,0.39,1395.0,11462.0,12.17,8.45,0.44,0.16,0.12,2.09,2.02
12,12,AAT,2023,-140.0,0.49,-35.0,10041.0,-0.35,-0.24,0.43,0.08,0.01,2.05,1.93
13,13,AAT,2020,,,403.0,12198.0,3.3,2.42,0.36,0.13,0.05,1.87,1.69
14,14,AAT,2021,19.56,0.84,802.0,18614.0,4.31,2.95,0.46,0.12,0.07,2.97,2.81
15,15,AAV,2020,30.08,1.04,419.0,12168.0,3.44,2.22,0.55,0.1,0.06,2.18,2.06
16,16,AAV,2021,32.76,1.02,696.0,22390.0,3.11,2.53,0.23,0.1,0.08,4.96,4.86
17,17,AAV,2022,195.45,0.36,22.0,11804.0,0.19,0.14,0.33,0.08,0.01,3.42,3.37
18,18,AAV,2023,-16.27,0.35,-252.0,11604.0,-2.17,-1.84,0.18,0.04,-0.24,7.65,7.58
19,19,AAV,2024,-42.2,0.66,-173.0,11125.0,-1.56,-1.28,0.22,-0.0,-0.35,4.48,4.46
20,20,ABR,2020,,,1236.0,11818.0,10.46,8.76,0.19,0.54,0.3,4.62,4.58
21,21,ABR,2021,,,966.0,12785.0,7.56,6.18,0.22,0.49,0.25,4.48,4.48
22,22,ABR,2022,4.1,0.42,1470.0,14262.0,10.31,7.9,0.31,0.51,0.37,2.38,2.37
23,23,ABR,2023,6.14,0.6,1549.0,15806.0,9.8,8.07,0.21,0.62,0.55,3.44,3.44
24,24,ABR,2024,11.36,0.69,898.0,14706.0,6.11,5.07,0.2,0.8,0.99,2.38,2.38
25,25,ABS,2024,143.75,0.4,32.0,11459.0,0.28,0.26,0.09,0.02,0.03,11.17,11.15
26,26,ABS,2023,59.08,0.54,98.0,10808.0,0.91,0.52,0.73,0.04,0.02,1.69,1.68
27,27,ABS,2020,14.73,1.62,1280.0,11630.0,11.01,4.09,1.69,0.08,0.05,1.18,1.17
28,28,ABS,2021,33.05,2.33,788.0,11170.0,7.05,4.1,0.72,0.05,0.07,1.92,1.89
29,29,ABS,2022,19.48,0.48,268.0,10769.0,2.49,1.35,0.84,0.05,0.02,1.78,1.77
30,30,ABT,2020,,,1243.0,36856.0,3.37,2.55,0.32,0.12,0.05,2.01,0.8
31,31,ABT,2021,10.09,0.81,2726.0,33767.0,8.07,5.69,0.42,0.19,0.1,1.72,0.69
32,32,ABT,2022,5.12,0.7,5513.0,40380.0,13.65,10.33,0.32,0.19,0.11,2.03,1.3
33,33,ABT,2023,6.35,0.83,4900.0,37654.0,13.01,9.81,0.33,0.16,0.13,2.14,1.56
34,34,ABT,2024,5.34,0.8,6942.0,46095.0,15.06,10.64,0.42,0.19,0.16,1.97,1.48
35,35,ACB,2023,4.1,0.93,4092.0,18096.0,22.61,2.23,9.13,,,,
36,36,ACB,2022,3.2,0.75,4008.0,17111.0,23.42,2.25,9.4,,,,
37,37,ACB,2024,5.88,1.18,3669.0,18239.0,20.12,1.94,9.35,,,,
38,38,ACB,2020,3.0,0.65,3511.0,16200.0,21.67,1.73,11.54,,,,
39,39,ACB,2021,4.63,0.99,3498.0,16356.0,21.39,1.82,10.75,,,,
40,40,ACC,2020,1.23,0.14,5179.0,44244.0,11.71,6.5,0.8,0.27,0.16,2.13,1.16
41,41,ACC,2021,19.93,1.58,764.0,9652.0,7.92,3.2,1.47,0.21,0.12,1.81,0.61
42,42,ACC,2022,13.02,0.88,860.0,12703.0,6.77,3.92,0.73,0.16,0.15,2.17,1.12
43,43,ACC,2023,18.66,1.01,662.0,12240.0,5.41,2.95,0.83,0.19,0.11,1.98,0.84
44,44,ACC,2024,29.08,1.15,502.0,12739.0,3.94,1.76,1.24,0.16,0.09,1.18,0.5
45,45,ACG,2020,,,5633.0,40265.0,13.99,11.05,0.27,0.27,0.15,3.86,2.64
46,46,ACG,2021,,,4513.0,37770.0,11.95,9.06,0.32,0.27,0.16,3.05,1.9
47,47,ACG,2022,6.48,1.02,4577.0,29088.0,15.73,11.26,0.4,0.3,0.17,2.49,1.54
48,48,ACG,2023,12.29,1.29,2896.0,27676.0,10.46,7.91,0.32,0.29,0.14,3.1,2.25
49,49,ACG,2024,14.72,1.48,2786.0,27694.0,10.06,7.45,0.35,0.31,0.14,2.84,2.17
50,50,ACL,2024,56.67,0.74,210.0,16137.0,1.3,0.63,1.06,0.11,0.01,1.64,0.53
51,51,ACL,2022,4.23,0.61,2351.0,16432.0,14.31,7.96,0.8,0.24,0.12,1.84,0.43
52,52,ACL,2023,60.46,0.75,196.0,15897.0,1.23,0.56,1.19,0.15,0.02,1.56,0.41
53,53,ACL,2020,23.83,0.97,562.0,13848.0,4.06,1.7,1.39,0.16,0.03,1.37,0.36
54,54,ACL,2021,20.29,1.21,839.0,14083.0,5.96,2.89,1.06,0.13,0.04,1.54,0.41
55,55,ADC,2020,2.78,0.54,3234.0,16620.0,19.46,9.01,1.16,0.35,0.04,1.36,1.02
56,56,ADC,2021,7.32,1.14,2090.0,13456.0,15.53,7.22,1.15,0.38,0.04,1.47,1.0
57,57,ADC,2022,5.35,0.97,2645.0,14560.0,18.17,8.12,1.24,0.36,0.04,1.43,0.84
58,58,ADC,2023,5.59,1.02,2862.0,15692.0,18.24,8.77,1.08,0.33,0.04,1.58,1.08
59,59,ADC,2024,5.54,0.94,3539.0,20939.0,16.9,8.0,1.11,0.34,0.04,1.61,1.26
60,60,ADG,2024,13.65,0.62,828.0,18098.0,4.57,3.57,0.28,0.16,0.06,2.25,2.18
61,61,ADG,2022,9.56,1.44,2458.0,16304.0,15.08,11.95,0.26,0.17,0.11,3.04,3.02
62,62,ADG,2023,22.9,1.33,939.0,16188.0,5.8,4.46,0.3,0.19,0.08,2.62,2.6
63,63,ADG,2020,,,2219.0,13342.0,16.63,8.98,0.85,0.17,0.12,1.64,1.63
64,64,ADG,2021,24.6,3.37,1993.0,14526.0,13.72,8.22,0.67,0.12,0.09,2.09,2.05
65,65,ADP,2020,,,5104.0,17475.0,29.21,23.77,0.23,0.25,0.17,4.14,2.71
66,66,ADP,2021,,,2575.0,14441.0,17.83,14.98,0.19,0.22,0.15,5.12,3.77
67,67,ADP,2022,,,1738.0,11906.0,14.6,11.17,0.31,0.15,0.09,3.66,2.78
68,68,ADP,2023,6.03,1.24,2558.0,12465.0,20.52,15.45,0.33,0.19,0.14,3.6,2.28
69,69,ADP,2024,7.46,2.33,3687.0,11822.0,31.19,23.9,0.3,0.19,0.13,3.83,2.18
70,70,ADS,2023,9.85,0.63,1120.0,17602.0,6.36,2.33,1.73,0.11,0.05,1.32,0.97
71,71,ADS,2020,6.64,0.33,750.0,15043.0,4.99,1.15,3.35,0.05,0.01,1.15,0.79
