,Unnamed: 0,Mã,Năm,shares_outstanding
0,0,AAA,2020,200183831
1,1,AAA,2021,357000015
2,2,AAA,2022,352423399
3,3,AAA,2023,382312482
4,4,AAA,2024,0
5,5,AAM,2020,10451830
6,6,AAM,2021,10250455
7,7,AAM,2022,11614953
8,8,AAM,2023,17578772
9,9,AAM,2024,10450941
10,10,AAT,2024,8288754
11,11,AAT,2022,63819453
12,12,AAT,2023,70473609
13,13,AAT,2020,34834908
14,14,AAT,2021,35927252
15,15,AAV,2020,31843679
16,16,AAV,2021,36033736
17,17,AAV,2022,68544246
18,18,AAV,2023,67209156
19,19,AAV,2024,69063006
20,20,ABR,2020,20006987
21,21,ABR,2021,20004909
22,22,ABR,2022,19993705
23,23,ABR,2023,20001553
24,24,ABR,2024,19999087
25,25,ABS,2024,79981286
26,26,ABS,2023,84561323
27,27,ABS,2020,37429428
28,28,ABS,2021,82933941
29,29,ABS,2022,84103326
30,30,ABT,2020,11142826
31,31,ABT,2021,12396628
32,32,ABT,2022,11661364
33,33,ABT,2023,13035019
34,34,ABT,2024,11777017
35,35,ACB,2023,3921000244
36,36,ACB,2022,3415217814
37,37,ACB,2024,4576115563
38,38,ACB,2020,2188215038
39,39,ACB,2021,2745210406
40,40,ACC,2020,11453093
41,41,ACC,2021,49221265
42,42,ACC,2022,95732784
43,43,ACC,2023,104984105
44,44,ACC,2024,104955769
45,45,ACG,2020,87338529
46,46,ACG,2021,99995396
47,47,ACG,2022,134494492
48,48,ACG,2023,150800508
49,49,ACG,2024,150795072
50,50,ACL,2024,50175986
51,51,ACL,2022,50169217
52,52,ACL,2023,50269099
53,53,ACL,2020,50148407
54,54,ACL,2021,50164691
55,55,ADC,2020,3824632
56,56,ADC,2021,4971424
57,57,ADC,2022,4972474
58,58,ADC,2023,4972680
59,59,ADC,2024,3978129
60,60,ADG,2024,21391800
61,61,ADG,2022,19917127
62,62,ADG,2023,21383659
63,63,ADG,2020,18001795
64,64,ADG,2021,18550261
65,65,ADP,2020,15360253
66,66,ADP,2021,19255781
67,67,ADP,2022,23041508
68,68,ADP,2023,23039104
69,69,ADP,2024,23037428
70,70,ADS,2023,52167427
71,71,ADS,2020,28061926
72,72,ADS,2021,28865212
73,73,ADS,2022,39531369
74,74,ADS,2024,0
75,75,AGG,2024,132694268
76,76,AGG,2022,119281296
77,77,AGG,2023,125077108
78,78,AGG,2020,82431591
79,79,AGG,2021,82749644
80,80,AGR,2020,211339060
81,81,AGR,2021,212027284
82,82,AGR,2022,212090980
83,83,AGR,2023,215477289
84,84,AGR,2024,215553534
85,85,ALT,2024,5743936
