,Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
0,AN PHAT PLAST.&GRN.ENVM.,AAA,AAA.HM,7/15/2010,2010,Equities,HOSE,Vietnam,Vietnamese Dong,General Industrials,An Phat Plastic and Green Environment,Active
1,MEKONG FISHERIES,AAM,AAM.HM,9/24/2009,2009,Equities,HOSE,Vietnam,Vietnamese Dong,Food Producers,Mekong Fisheries,Active
2,TIEN SON THANH HOA,AAT,AAT.HM,3/24/2021,2021,Equities,HOSE,Vietnam,Vietnamese Dong,Personal Goods,Tien Son Thanh Hoa,Active
3,AAV GROUP JSC,AAV,AAV.HN,6/25/2018,2018,Equities,HNX,Vietnam,Vietnamese Dong,Real Estate Investment and Services,AAV Group JSC,Active
4,VIET BRAND INVEST JSC,ABR,ABR.HM,6/29/2018,2018,Equities,HOSE,Vietnam,Vietnamese Dong,Industrial Support Services,Viet Brand Invest JSC,Active
5,BINH THUAN AGRICULTURE SERVICES,ABS,ABS.HM,3/18/2020,2020,Equities,HOSE,Vietnam,Vietnamese Dong,Chemicals,Binh Thuan Agriculture Services,Active
6,BEN TRE AQUAPRODUCT IMPORT AND EXPORT,ABT,ABT.HM,4/2/2007,2007,Equities,HOSE,Vietnam,Vietnamese Dong,Food Producers,Ben Tre Aquaproduct Import and Export,Active
7,ASIA COMMERCIAL,ACB,ACB.HM,4/2/2007,2007,Equities,HOSE,Vietnam,Vietnamese Dong,Banks,Asia Commercial,Active
8,ACC BINH DUONG,ACC,ACC.HM,12/22/2009,2009,Equities,HOSE,Vietnam,Vietnamese Dong,Construction and Materials,ACC Binh Duong,Active
9,AN CUONG WOOD - WORKING,ACG,ACG.HM,8/4/2021,2021,Equities,HOSE,Vietnam,Vietnamese Dong,Construction and Materials,An Cuong Wood - Working,Active
10,CUU LONG FISH,ACL,ACL.HM,9/5/2007,2007,Equities,HOSE,Vietnam,Vietnamese Dong,Food Producers,CUU Long Fish,Active
11,ART DESIGN & COM,ADC,ADC.HN,12/24/2010,2010,Equities,HNX,Vietnam,Vietnamese Dong,Media,Art Design and Com,Active
12,CLEVER GROUP CORPORATION,ADG,ADG.HM,12/26/2019,2019,Equities,HOSE,Vietnam,Vietnamese Dong,Media,Clever Group Corporation,Active
